ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.58432963,2,4,"Oregon, Lane","43.9373,-122.8478",0.65310585,0.811977651,0.622308368,0.8956,0.685742972,0.575,0.259185318,0.825688073,0.19,0.402170237,0.413173653,0.58583425,0.241333043,0.356129548
0.484678575,9,3,"Oregon, Lincoln","44.6425,-123.8699",0.525910323,0.719802829,0.597554085,0.6482,0.624497992,0.575,0.456649196,0.385321101,0.03,0.44489089,0.245508982,0.732165229,0.367400762,0.361757185
0.528723756,3,8,"Oregon, Linn","44.489,-122.5373",0.692796317,0.83702504,0.588017163,0.6428,0.758032129,0.575,0.330028725,0.385321101,0,0.351532925,0.347305389,0.577597632,0.343038746,0.37663059
0.534144096,10,10,"Oregon, Malheur","43.1937,-117.6227",0.523407709,0.512671644,0.461043498,0.9994,0.77811245,0.675,0.377595054,0.697247706,0,0.441317634,0.359281437,0.538099217,0.349050753,0.601691997
0.603807364,2,4,"Oregon, Marion","44.9029,-122.5815",0.708605075,0.771672809,0.682444534,0.9274,0.74497992,0.675,0.331408494,0.688073394,0.17,0.453499242,0.365269461,0.511724164,0.299890494,0.403400078
0.484416507,7,1,"Oregon, Morrow","45.4185,-119.5845",0.590063107,0.596951561,0.469045549,0.5183,0.724899598,0.5,0.395466276,0.495412844,0,0.392068838,0.293413174,0.506721514,0.358388429,0.4723152
0.594832388,2,4,"Oregon, Multnomah","45.5475,-122.4169",0.66426676,0.774341094,0.784193409,0.9271,0.681726908,0.575,0.275354747,0.770642202,0.24,0.551834012,0.323353293,0.446744085,0.208873181,0.224083662
0.531788446,7,10,"Oregon, Polk","44.9032,-123.4129",0.64756971,0.768856459,0.60842278,0.5677,0.708835341,0.575,0.355112767,0.633027523,0,0.441277109,0.329341317,0.56273046,0.302676755,0.312998055
0.297596702,5,7,"Oregon, Sherman","45.415,-120.6828",0,0,0.435810194,0.0923,0.689759036,0.5,0.383557417,0.496146789,0.0178,0.339883878,0.221556886,0.712396636,0.215163643,0.189808195
0.51336791,7,10,"Oregon, Tillamook","45.4625,-123.7121",0.589891532,0.803368814,0.536392234,0.8612,0.705823293,0.575,0.398993363,0.504587156,0,0.341595024,0.203592814,0.693051002,0.263325994,0.281437214
0.527213237,7,3,"Oregon, Umatilla","45.5907,-118.7354",0.603167386,0.597137205,0.548208786,0.9901,0.756024096,0.675,0.386715189,0.394495413,0,0.485086777,0.347305389,0.509231233,0.362985147,0.510661639
0.508661477,9,2,"Oregon, Union","45.3092,-118.0069",0.490971846,0.588465257,0.514256536,0.929,0.765060241,0.675,0.333234765,0.458715596,0.18,0.335751442,0.203592814,0.607589018,0.350063665,0.307198316
0.451449349,9,3,"Oregon, Wallowa","45.5789,-117.1835",0.564672537,0.776885138,0.444456722,0.8096,0.665662651,0.25,0.46636943,0.293577982,0,0.256871269,0.221556886,0.741669724,0.246803432,0.190406856
0.543911587,7,10,"Oregon, Wasco","45.1629,-121.1671",0.674586101,0.766501687,0.517307303,0.9733,0.697791165,0.675,0.342118938,0.577981651,0.02,0.424284428,0.233532934,0.618940916,0.234143782,0.320790103
0.561794451,7,4,"Oregon, Washington","45.5597,-123.0955",0.639572439,0.765247573,0.722669129,0.5657,0.731927711,0.825,0.301905262,0.697247706,0.13,0.437593656,0.347305389,0.446744085,0.177786618,0.13078631
0.389623878,9,9,"Oregon, Wheeler","44.727,-120.0281",0.478337218,0.726637061,0.318608135,0.1726,0.601405622,0,0.37631311,0.436605505,0.0088,0.336957777,0.167664671,0.8188876,0.36678875,0.428591827
0.546187371,7,10,"Oregon, Yamhill","45.2333,-123.3087",0.622659657,0.753647382,0.626827768,0.8902,0.732931727,0.575,0.334283356,0.596330275,0.06,0.414386106,0.329341317,0.542700409,0.297725855,0.273957638
0.575464469,2,4,"Pennsylvania, Adams","39.8714,-77.2161",0.765318063,0.77013396,0.615060699,0.2789,0.766064257,0.675,0.321268467,0.779816514,0.1,0.311960919,0.45508982,0.603726893,0.311397994,0.175770227
0.603071897,2,4,"Pennsylvania, Allegheny","40.4681,-79.9817",0.723937794,0.747047483,0.7333551,0.6074,0.669678715,0.75,0.304328708,0.770642202,0.26,0.424029272,0.616766467,0.581738694,0.295040305,0.115558287
0.566075034,2,4,"Pennsylvania, Armstrong","40.8167,-79.4629",0.756719822,0.763610648,0.554124304,0.2614,0.690763052,0.575,0.340992837,0.825688073,0.14,0.16120859,0.532934132,0.63712461,0.46463874,0.273600597
0.570150764,2,4,"Pennsylvania, Beaver","40.6825,-80.3492",0.734547787,0.740654736,0.628831543,0.4196,0.805220884,0.575,0.326336171,0.642201835,0.12,0.363791431,0.479041916,0.62814365,0.400880529,0.137315513
