ToxPi Score,HClust Group,KMeans Group,Name,FIPS,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
0.55318368,7,6,"North Carolina, Surry",37171,"-80.691,36.4169",0.605478455,0.030670201,0.565307809,0.7014,1,0.573499128,0.436575935,0.395209581,0.613308187,0.393747175,0.494978231,0.423477436
0.467077421,3,9,"North Carolina, Swain",37173,"-83.4875,35.4867",0.237975687,0.001670844,0.48866847,0.5498,0.675,0.573499128,0.679333909,0.323353293,0.603726893,0.464561627,0.705689078,0.358121451
0.500118238,10,2,"North Carolina, Transylvania",37175,"-82.7964,35.2038",0.610794896,0.05520073,0.585849663,0.3992,0.75,0.573499128,0.393987988,0.341317365,0.757419609,0.268294194,0.407320022,0.440004791
0.488988955,8,8,"North Carolina, Tyrrell",37177,"-76.1706,35.8715",0.381017458,0.006451613,0.491216986,0.8602,0.5,0.573499128,0.697899125,0.293413174,0.642411107,0.472510953,0.625442017,0
0.479255278,10,10,"North Carolina, Union",37179,"-80.5296,34.9896",0.602724454,0.033502713,0.607452175,0.0888,1,0.573499128,0.54352879,0.473053892,0.42856039,0.263238535,0.204275629,0.569439895
0.584258577,8,8,"North Carolina, Vance",37181,"-78.4067,36.3688",0.579252928,0.025104603,0.614945927,0.9172,0.75,0.573499128,0.712724819,0.419161677,0.567039084,0.449915167,0.606771356,0.46258087
0.499213961,10,10,"North Carolina, Wake",37183,"-78.6525,35.7888",0.582846695,0.036207576,0.717594756,0.4384,1,0.573499128,0.613810559,0.479041916,0.392728361,0.167861165,0.129830608,0.504374984
0.524869111,8,8,"North Carolina, Warren",37185,"-78.1065,36.3973",0.557065862,0.0252149,0.4724428,0.795,0.325,0.573499128,0.884882291,0.401197605,0.680626791,0.40830068,0.614642491,0
0.514746707,8,2,"North Carolina, Washington",37187,"-76.573,35.8381",0.50645032,0.016361886,0.525934746,0.5033,0.5,0.573499128,0.714844538,0.335329341,0.667774075,0.52175475,0.622762876,0.389655285
0.501532941,7,6,"North Carolina, Watauga",37189,"-81.7003,36.231",0.472922463,0.013758312,0.642348253,0.822,1,0.573499128,0.320360366,0.317365269,0.516660551,0.1625799,0.488330701,0.47366457
0.586388079,8,6,"North Carolina, Wayne",37191,"-78.0003,35.3644",0.5178525,0.01810585,0.604658995,0.9427,1,0.573499128,0.660494964,0.461077844,0.526341402,0.460073166,0.573057126,0.448528376
0.517026806,7,2,"North Carolina, Wilkes",37193,"-81.1623,36.2084",0.543989298,0.021104904,0.543457381,0.4578,0.825,0.573499128,0.405640915,0.395209581,0.62814365,0.473600836,0.547084198,0.48574738
0.59533574,8,6,"North Carolina, Wilson",37195,"-77.918,35.7063",0.59255533,0.026462995,0.63025077,0.8644,1,0.573499128,0.653868098,0.461077844,0.558371442,0.413865837,0.593222201,0.397043226
0.497858665,7,2,"North Carolina, Yadkin",37197,"-80.6624,36.1622",0.515097144,0.015018125,0.557896004,0.4174,0.75,0.573499128,0.424391238,0.413173653,0.601780717,0.398298719,0.476227998,0.630627865
0.461334584,10,2,"North Carolina, Yancey",37199,"-82.3124,35.9008",0.557731094,0.025740026,0.542560535,0.2601,0.675,0.573499128,0.315245814,0.335329341,0.699111164,0.381802355,0.576836216,0
0.280597033,9,5,"North Dakota, Adams",38001,"-102.5285,46.0969",0.368893072,0.003717472,0.412107081,0.2178,0,0.296933902,0.290314914,0.107784431,0.677454926,0.345036919,0.100938856,0.270000944
0.407864247,7,4,"North Dakota, Barnes",38003,"-98.0661,46.9358",0.549846207,0.016140866,0.475516297,0.5798,0.5,0.296933902,0.410539107,0.161676647,0.64065726,0.319946021,0.101469937,0.458155925
0.4471208,6,4,"North Dakota, Benson",38005,"-99.3592,48.0684",0.506680506,0.009551098,0.376822633,0.6883,0.5,0.296933902,0.638629318,0.155688623,0.461247542,0.637147922,0.562763247,0
0.150419203,1,7,"North Dakota, Billings",38007,"-103.3763,47.0237",0,0,0.321856183,0.1675,0,0.296933902,0.14414303,0.113772455,0.533440509,0.22473985,0.07785411,0
0.320364223,9,5,"North Dakota, Bottineau",38009,"-100.8378,48.7911",0.377085107,0.004237288,0.414097496,0.1363,0.325,0.296933902,0.428439443,0.161676647,0.661177588,0.354147861,0.083550782,0.396795304
0.251754054,1,7,"North Dakota, Bowman",38011,"-103.5203,46.1129",0,0,0.430448229,0.4753,0.5,0.296933902,0.287066343,0.125748503,0.620799731,0.178811037,0.073578942,0.316477974
0.273220976,9,5,"North Dakota, Burke",38013,"-102.5182,48.7909",0.379103317,0.004291845,0.325506288,0.0707,0.5,0.296933902,0.302203346,0.131736527,0.521532409,0.271810045,0.044935472,0
0.447627853,7,4,"North Dakota, Burleigh",38015,"-100.4645,46.9785",0.594257028,0.019147541,0.6069789,0.7227,0.75,0.296933902,0.567730705,0.155688623,0.516660551,0.260545995,0.044038266,0.357709763
0.441482886,7,1,"North Dakota, Cass",38017,"-97.2445,46.932",0.641180947,0.035122403,0.633179665,0.5323,0.75,0.296933902,0.56036181,0.22754491,0.40616015,0.253670277,0.067836247,0.340071095
0.281135218,9,5,"North Dakota, Cavalier",38019,"-98.4669,48.7729",0.309694386,0.00234192,0.407178106,0.0366,0.25,0.296933902,0.305158218,0.173652695,0.729404536,0.301003763,0.058483658,0.360736842
0.366361188,7,5,"North Dakota, Dickey",38021,"-98.5049,46.1102",0.488168175,0.007741935,0.424442904,0.4438,0.5,0.296933902,0.307360639,0.161676647,0.638895121,0.31550508,0.07098894,0.391240429
0.259592278,1,7,"North Dakota, Divide",38023,"-103.4874,48.8149",0,0,0.354200115,0.1391,0.5,0.296933902,0.405667475,0.167664671,0.728016483,0.359026096,0.128079314,0.332430848
0.378802727,9,4,"North Dakota, Dunn",38025,"-102.616,47.3542",0.481407893,0.013368984,0.416302437,0.4435,0.5,0.296933902,0.595077199,0.083832335,0.538099217,0.396193838,0.254890937,0
0.338208696,9,5,"North Dakota, Eddy",38027,"-98.9043,47.717",0.448035338,0.004310345,0.389144032,0.2576,0.5,0.296933902,0.388323435,0.137724551,0.672645933,0.327720996,0.135272337,0
0.208557947,1,7,"North Dakota, Emmons",38029,"-100.239,46.284",0,0,0.3729825,0.1531,0.075,0.296933902,0.237290669,0.119760479,0.766308762,0.239163001,0.15332956,0.38621092
0.319829082,9,5,"North Dakota, Foster",38031,"-98.8828,47.4571",0.515830156,0.008680556,0.448957563,0.1165,0.25,0.296933902,0.257857259,0.137724551,0.65951006,0.338176928,0.042446599,0.311681994
0.280589981,9,5,"North Dakota, Golden Valley",38033,"-103.8465,46.9402",0.398923344,0.00390625,0.255529298,0.3785,0,0.296933902,0.330627392,0.131736527,0.647623665,0.367265567,0.099896921,0
0.469595479,7,4,"North Dakota, Grand Forks",38035,"-97.4545,47.9209",0.599005395,0.021846303,0.597672747,0.8816,0.675,0.296933902,0.594699708,0.233532934,0.425441612,0.282168111,0.184023837,0.380867979
0.302797999,9,5,"North Dakota, Grant",38037,"-101.639,46.3582",0.525122773,0.020408163,0.323012929,0.2124,0,0.296933902,0.255203359,0.095808383,0.757419609,0.300317931,0.094999716,0.251736283
0.303364209,9,5,"North Dakota, Griggs",38039,"-98.2385,47.4579",0.532249894,0.012820513,0.385889587,0.135,0,0.296933902,0.253423111,0.143712575,0.756132244,0.29834386,0.032007505,0.307149674
0.287742259,9,5,"North Dakota, Hettinger",38041,"-102.4632,46.4338",0.358310928,0.00308642,0.366891934,0.0411,0.325,0.296933902,0.448872321,0.113772455,0.686890666,0.247245669,0.172750759,0
0.311463286,9,5,"North Dakota, Kidder",38043,"-99.7751,46.9783",0.4882389,0.011494253,0.3487325,0.0831,0.5,0.296933902,0.220337375,0.113772455,0.611411532,0.308102686,0.18455625,0
0.334348482,9,5,"North Dakota, LaMoure",38045,"-98.5354,46.4568",0.599256617,0.025096525,0.379504994,0.0213,0.5,0.296933902,0.178309569,0.149700599,0.694575306,0.305497401,0.142844443,0
0.35362143,10,1,"North Dakota, Logan",38047,"-99.4772,46.4573",0.686874141,0.053497942,0.375903067,0.1344,0.5,0.296933902,0.158568904,0.125748503,0.767561509,0.243938727,0.073278945,0
0.310075892,9,5,"North Dakota, McHenry",38049,"-100.6325,48.231",0.566343673,0.022187005,0.398332464,0.0379,0.325,0.296933902,0.274775208,0.131736527,0.617072782,0.301078615,0.066166462,0
0.334585809,9,5,"North Dakota, McIntosh",38051,"-99.4415,46.1118",0.482040916,0.009118541,0.399559505,0.1127,0.5,0.296933902,0.260928699,0.137724551,0.785864293,0.199565572,0.171889524,0.214990007
0.43330924,7,4,"North Dakota, McKenzie",38053,"-103.3959,47.7413",0.548009993,0.02270884,0.503346328,0.7717,0.575,0.296933902,0.610201585,0.137724551,0.321343639,0.320706517,0.250576528,0.494906104
0.359083558,9,5,"North Dakota, McLean",38055,"-101.3182,47.6077",0.491333888,0.009577015,0.425868341,0.2295,0.5,0.296933902,0.43757498,0.113772455,0.661177588,0.351840781,0.054771181,0.367964042
0.364374944,7,4,"North Dakota, Mercer",38057,"-101.8318,47.3121",0.486827896,0.009049774,0.466759627,0.4416,0.325,0.296933902,0.389947504,0.125748503,0.571298465,0.302141825,0.159241329,0.508842033
